Location,Status,Prosto,Na voljo,Datum
Bežigrad,Prosto,54,64,2025-04-14 00:44
Dolenjska cesta (Strelišče),Prosto,44,67,2025-04-14 00:44
Gosarjeva ulica,Prosto,38,190,2025-04-14 00:44
Gospodarsko razstavišče,Prosto,431,400,2025-04-14 00:44
Komanova ulica,Zasedeno,/,55,2025-04-14 00:44
PH Kongresni trg,Prosto,246,720,2025-04-14 00:44
Kozolec,Prosto,99,394,2025-04-14 00:44
Kranjčeva ulica,Prosto,117,117,2025-04-14 00:44
Linhartova,Prosto,110,50,2025-04-14 00:44
Metelkova ulica,Prosto,29,89,2025-04-14 00:44
Mirje,Prosto,85,107,2025-04-14 00:44
P+R Barje,Odprto,,,2025-04-14 00:44
P+R Dolgi Most,Odprto,,,2025-04-14 00:44
P+R Studenec,Odprto,,,2025-04-14 00:44
PH Kolezija,Prosto,62,80,2025-04-14 00:44
Pokopališče Polje,Prosto,38,39,2025-04-14 00:44
Povšetova ulica,Prosto,73,81,2025-04-14 00:44
Sanatorij Emona,Prosto,11,25,2025-04-14 00:44
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 00:44
Tivoli I.,Prosto,332,351,2025-04-14 00:44
Tivoli II.,Prosto,158,159,2025-04-14 00:44
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 00:44
Trg prekomorskih brigad,Prosto,38,61,2025-04-14 00:44
Štembalova ulica,Zasedeno,/,155,2025-04-14 00:44
Žale I.,Prosto,103,125,2025-04-14 00:44
Žale II.,Prosto,69,80,2025-04-14 00:44
Žale III.,Prosto,55,83,2025-04-14 00:44
Žale IV.,Prosto,77,78,2025-04-14 00:44
Žale V.,Prosto,284,100,2025-04-14 00:44
P+R Ježica,Odprto,,,2025-04-14 00:44
P+R Stanežiče,Odprto,,,2025-04-14 00:44
ŠRC Stožice,Prosto,/,509,2025-04-14 00:44
Tacen,Prosto,/,/,2025-04-14 00:44
Bratislavska,Prosto,/,/,2025-04-14 00:44
BS4,Prosto,53,100,2025-04-14 00:44
PH Rog,Prosto,28,80,2025-04-14 00:44
P+R Letališka,Odprto,,,2025-04-14 00:44
Parkirišče PH Ilirija,Odprto,,,2025-04-14 00:44
Bežigrad,Prosto,54,64,2025-04-14 00:58
Dolenjska cesta (Strelišče),Prosto,44,67,2025-04-14 00:58
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 00:58
Gospodarsko razstavišče,Prosto,431,400,2025-04-14 00:58
Komanova ulica,Zasedeno,/,55,2025-04-14 00:58
PH Kongresni trg,Prosto,246,720,2025-04-14 00:58
Kozolec,Prosto,99,394,2025-04-14 00:58
Kranjčeva ulica,Prosto,117,117,2025-04-14 00:58
Linhartova,Prosto,110,50,2025-04-14 00:58
Metelkova ulica,Prosto,29,89,2025-04-14 00:58
